env,actor_0_alpha,actor_0_seed,actor_1_alpha,actor_1_seed,algorithm,n_eval_episodes,mean_reward,mean_KL,q_output_diff,jacobian_diff
HalfCheetah-v4,0.4,3,0.4,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,12616.117741330727,0.3877045810222626,72.9829736328125,36.3845729620552
HalfCheetah-v4,0.4,3,0.4,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,13081.045097213508,0.24063877761363983,62.50736145019531,34.96350637465478
HalfCheetah-v4,0.4,4,0.4,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,14399.98258381569,0.8116061687469482,185.0483544921875,40.825547413387305
HalfCheetah-v4,0.4,4,0.4,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,14755.514909018744,1.3701542615890503,322.4097790527344,44.80670897203445
HalfCheetah-v4,0.4,2,0.4,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,12423.820081465818,0.15959830582141876,44.605751953125,29.602023100175856
HalfCheetah-v4,0.2,2,0.2,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,13842.181554539015,0.696384608745575,56.9882666015625,45.34343728466034
HalfCheetah-v4,0.2,2,0.2,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,13847.241684179087,4.043846130371094,112.908681640625,51.94302156978606
HalfCheetah-v4,0.2,2,0.2,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,13824.014348978208,7.103543281555176,165.4919873046875,56.1107394912529
HalfCheetah-v4,0.2,2,0.2,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,13750.936166087467,2.576580286026001,275.0511767578125,52.56253388595581
HalfCheetah-v4,0.2,3,0.2,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,12813.377349194661,3.765288829803467,190.37349365234374,47.00928621173859
HalfCheetah-v4,0.2,3,0.2,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,12741.671402459491,8.46722412109375,149.17184814453125,52.5289425326538
HalfCheetah-v4,0.2,3,0.2,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,13134.872284133331,2.889397144317627,246.952041015625,48.490543784713736
HalfCheetah-v4,0.2,4,0.2,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,14198.568830872677,1.1244933605194092,281.6371875,50.13556829303742
HalfCheetah-v4,0.2,4,0.2,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,14328.522216019963,8.043428421020508,436.3141552734375,58.761186011581415
HalfCheetah-v4,0.2,5,0.2,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,14202.140283267763,13.044761657714844,525.2530737304687,57.32222423187256
HalfCheetah-v4,0.1,4,0.1,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,14887.273637175513,25.808788299560547,174.77334228515625,65.32785026161194
