env,algorithm,actor_i_alpha,actor_i_seed,checkpoint_i,actor_j_alpha,actor_j_seed,checkpoint_j,episode_idx,episode_reward,episode_kl,episode_q_infnorm,episode_jacobian_diff,episode_q_meandiff
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,10,6120.834031175212,2.8967165648937225,526.4186401367188,8553.16744482422,464.7387200775146
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,11,6043.947651900194,2.890706681609154,525.23193359375,8449.99308984375,473.6025397338867
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,12,6022.236332264231,2.8881164205074312,540.4290161132812,8540.40221484375,471.06178659057616
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,13,6096.140619609108,2.872986035823822,529.5978393554688,8537.605075683594,467.572122467041
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,14,6040.671123123947,2.899809773683548,529.338623046875,8341.778795898437,470.56268089294434
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,15,6072.483580405099,2.8749819440841677,532.9596557617188,8497.358044433593,472.31060801696776
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,16,5928.802269500637,2.872498112201691,524.187744140625,8375.2468515625,471.4142812347412
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,17,6000.258372509908,2.876325389742852,528.9716796875,8648.10904296875,465.4418082733154
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,18,6058.433520314356,2.892705104827881,521.6838989257812,8397.376438964844,469.8395106201172
Humanoid-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,5,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250410_094328-i37l1dpa/files/files/Humanoid-v4__Humanoid-v4__5__1744292606_step4950000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250409_113519-uqyghijz/files/files/Humanoid-v4__Humanoid-v4__3__1744212917_step4950000.pth,19,930.2186946971162,2.690726629009953,525.0048828125,8403.718973632813,471.6452104187012
